Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967]
"Population, total",SP.POP.TOTL,Mauritius,MUS,..,1262605,1260934,1258653,1255882,1252404,1250400,1247429,1244121,1239630,1233996,1228254,1221003,1213370,1204621,1196287,1186873,1175267,1160421,1148284,1133996,1122457,1112846,1097374,1084441,1070266,1058775,1051260,1043239,1036082,1028360,1020528,1012221,1001691,992521,980462,966039,949888,933499,921379,906507,892000,878042,864819,852053,839230,826000,812405,798413,783917
"Population, total",SP.POP.TOTL,Mexico,MEX,..,127017224,125385833,123740109,122070963,120365271,118617542,116815612,114972821,113139374,111382857,109747906,108257822,106888418,105578297,104239563,102808590,101266570,99632299,97925825,96181710,94426946,92663664,90887097,89110043,87347208,85609404,83901643,82223153,80571067,78939441,77322643,75721210,74133377,72547995,70950741,69330974,67688533,66025613,64337694,62620087,60872399,59090495,57283361,55480125,53719547,52029859,50423127,48893607,47429553
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,..,104460,104044,103718,103516,103476,103619,103961,104472,105080,105680,106198,106575,106816,106983,107170,107430,107808,108236,108506,108342,107556,106057,103937,101412,98800,96331,94091,92020,90024,87948,85689,83242,80678,78057,75462,72967,70550,68221,66110,64386,63146,62477,62289,62298,62107,61433,60167,58404,56324
"Population, total",SP.POP.TOTL,Moldova,MDA,..,3554150,3556397,3558566,3559519,3559986,3562045,3565604,3570108,3576910,3585209,3595187,3603945,3612874,3623062,3631462,3639592,3647001,3652732,3654208,3667748,3675099,3691000,3701000,3706000,3704000,3696000,3681000,3660000,3633000,3602000,3570000,3536000,3500000,3464000,3429000,3396000,3366000,3339000,3312000,3284000,3251000,3215000,3174000,3131000,3088000,3044000,3002000,2960000,2918000
"Population, total",SP.POP.TOTL,Monaco,MCO,..,37731,37623,37528,37404,37189,36845,36351,35731,35046,34384,33808,33339,32960,32648,32364,32081,31795,31517,31242,30971,30700,30423,30138,29864,29626,29438,29313,29238,29169,29048,28836,28514,28098,27629,27165,26746,26391,26086,25809,25521,25201,24835,24440,24052,23722,23484,23348,23296,23297
"Population, total",SP.POP.TOTL,Mongolia,MNG,..,2959134,2909871,2859174,2808339,2759074,2712657,2669572,2629666,2592776,2558484,2526447,2496621,2469045,2443503,2419729,2397438,2376165,2355588,2335694,2316571,2298038,2280495,2263204,2243506,2217920,2184145,2141006,2089716,2033345,1976311,1921885,1871087,1823215,1777727,1733479,1689622,1646291,1603908,1562212,1520865,1479650,1438423,1397305,1356669,1317049,1278825,1242213,1207108,1173186
"Population, total",SP.POP.TOTL,Montenegro,MNE,..,622388,621810,621207,620601,620079,619428,618294,616969,615875,615025,614261,613353,612267,609828,607389,604950,606001,607662,609520,611003,611712,611389,610170,608516,607105,606372,606571,607413,608144,607711,605398,600884,594506,587001,579445,572608,566888,562065,557576,552562,546487,538902,530220,521785,515449,512407,513340,517481,522796
"Population, total",SP.POP.TOTL,Morocco,MAR,..,34377511,33921203,33452686,32984190,32531964,32107739,31714958,31350544,31011322,30691434,30385479,30093109,29812685,29535591,29250983,28950553,28630973,28292299,27934014,27556892,27161889,26747660,26314339,25866445,25410178,24950128,24489354,24027330,23560825,23084731,22596133,22094516,21583746,21070647,20564359,20071902,19595092,19133462,18688782,18262366,17854614,17466606,17097003,16740525,16389949,16039600,15687996,15335173,14978905
"Population, total",SP.POP.TOTL,Mozambique,MOZ,..,27977863,27216276,26467180,25732928,25016921,24321457,23647815,22994867,22359637,21737860,21126676,20523159,19928496,19348715,18792357,18264536,17774066,17317376,16872896,16410777,15913101,15363065,14775877,14203987,13719853,13371971,13181941,13124285,13142516,13155271,13102982,12968335,12766859,12511864,12228508,11936379,11635174,11320103,11001909,10693688,10405000,10141147,9901052,9679753,9468836,9262078,9058691,8860823,8668529
"Population, total",SP.POP.TOTL,Myanmar,MMR,..,53897154,53437159,52983829,52543841,52125411,51733013,51369725,51030006,50698814,50355559,49984704,49582751,49151958,48689952,48195684,47669791,47106923,46509586,45895991,45290888,44710931,44164109,43642311,43126260,42588029,42007309,41379635,40711172,40005369,39269143,38508821,37724581,36917980,36098908,35279907,34470694,33675835,32895739,32130696,31379308,30640635,29916827,29209686,28517289,27836648,27166045,26504247,25853248,25218375
